Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Aberfeldie,25 Beaver St,2,h,S,Nelson,15/10/2016,9.1,3040,2,1,2,809,131,1980,Moonee Valley City Council,-37.7587,144.9015,Western Metropolitan,1543,Parkade,1705000
Brunswick East,202b Edward St,3,h,S,Nelson,15/10/2016,4.5,3057,3,2,0,185,,1998,Moreland City Council,-37.7755,144.9744,Northern Metropolitan,5533,Underground,1170000
Brunswick East,221/408 Lygon St,1,u,VB,Nelson,15/10/2016,4.5,3057,1,1,1,0,,,Moreland City Council,-37.765,144.9731,Northern Metropolitan,5533,Outdoor Stall,370000
Campbellfield,7 Augusta Av,5,h,SP,Barry,15/10/2016,14.5,3061,,,,,,,Hume City Council,,,Northern Metropolitan,1889,Parking Pad,
Carlton,18 Pitt St,3,h,SP,Woodards,15/10/2016,1.8,3053,3,1,0,121,,,Melbourne City Council,-37.7957,144.9725,Northern Metropolitan,6786,Carport,920000
Essendon West,479a Buckley St,3,h,S,Nelson,15/10/2016,9.8,3040,3,1,2,293,,,Moonee Valley City Council,-37.7535,144.8836,Western Metropolitan,588,Detached Garage,685000
Essendon West,4/63 Hampton Rd,4,t,S,Harcourts,15/10/2016,9.8,3040,4,2,1,179,160,1995,Moonee Valley City Council,-37.7527,144.8824,Western Metropolitan,588,Attached Garage,652500
Fawkner,1/12 Brooks St,3,t,SP,Eview,15/10/2016,12.4,3060,3,1,1,314,112,1970,Hume City Council,-37.7066,144.9733,Northern Metropolitan,5070,Indoor,460000
Fawkner,64 Dowding Cl,4,h,SN,Barry,15/10/2016,12.4,3060,4,1,1,424,155,1996,Hume City Council,-37.6969,144.9655,Northern Metropolitan,5070,Parkade,
Fawkner,1 Imaroo St,4,h,S,Ray,15/10/2016,12.4,3060,4,2,1,430,,,Hume City Council,-37.7185,144.9754,Northern Metropolitan,5070,Underground,570500
Fawkner,2/31 Princess St,2,t,SN,Barry,15/10/2016,12.4,3060,2,2,1,148,132,2013,Hume City Council,-37.7177,144.9635,Northern Metropolitan,5070,Carport,
Fawkner,2/79 Queens Pde,1,u,S,Brad,15/10/2016,12.4,3060,1,1,1,69,,1960,Hume City Council,-37.7192,144.9654,Northern Metropolitan,5070,Detached Garage,288000
Hawthorn East,123/20 Camberwell Rd,2,u,VB,RT,15/10/2016,7.5,3123,,,,,,,Boroondara City Council,,,Southern Metropolitan,6482,Attached Garage,670000
Hawthorn East,12 Heather Ct,3,h,SP,Jellis,15/10/2016,7.5,3123,3,1,1,505,146,1950,Boroondara City Council,-37.8389,145.0433,Southern Metropolitan,6482,Indoor,
Hawthorn East,36 Invermay Gr,4,h,S,Marshall,15/10/2016,7.5,3123,4,2,2,457,166,1900,Boroondara City Council,-37.8332,145.0461,Southern Metropolitan,6482,Parkade,2381000
Hawthorn East,1/36 Pleasant Rd,4,t,S,Jellis,15/10/2016,7.5,3123,4,3,2,324,241,2002,Boroondara City Council,-37.8348,145.0503,Southern Metropolitan,6482,Carport,1738000
Hawthorn East,1 Torring Rd,2,h,S,Fletchers,15/10/2016,7.5,3123,2,2,2,358,,,Boroondara City Council,-37.8341,145.0528,Southern Metropolitan,6482,Detached Garage,1582000
Hawthorn East,6/31 Tourello Av,2,u,S,Noel,15/10/2016,7.5,3123,,,,,,,Boroondara City Council,,,Southern Metropolitan,6482,Attached Garage,
Heidelberg,5/58 Mount St,2,u,SP,Barry,15/10/2016,10.6,3084,2,1,1,985,,,Banyule City Council,-37.7579,145.0621,Eastern Metropolitan,2890,Indoor,
Kingsville,88 Chirnside St,1,h,PI,Village,15/10/2016,7.8,3012,1,1,0,272,107,,Maribyrnong City Council,-37.8086,144.8824,Western Metropolitan,1808,Parkade,750000
Kingsville,2/15 Edgar St,2,u,S,hockingstuart,15/10/2016,7.8,3012,2,1,1,117,74,2008,Maribyrnong City Council,-37.8083,144.8775,Western Metropolitan,1808,Underground,440000
Murrumbeena,21 Ardyne St,4,h,S,Ray,15/10/2016,12.1,3163,4,2,2,660,167,1920,Glen Eira City Council,-37.8932,145.0681,Southern Metropolitan,4442,Outdoor Stall,1610000
Murrumbeena,3/34 Bute St,1,u,S,McGrath,15/10/2016,12.1,3163,1,1,1,0,,,Glen Eira City Council,-37.8956,145.0705,Southern Metropolitan,4442,Carport,290000
Murrumbeena,1/1222 Dandenong Rd,2,u,PI,Buxton,15/10/2016,12.1,3163,2,1,1,0,,,Glen Eira City Council,-37.8849,145.07,Southern Metropolitan,4442,Detached Garage,
Murrumbeena,199 Poath Rd,2,h,S,hockingstuart,15/10/2016,12.1,3163,2,1,2,313,,,Glen Eira City Council,-37.898,145.0759,Southern Metropolitan,4442,Attached Garage,910500
Ormond,2/3 Coane St,3,u,SP,Marshall,15/10/2016,11.8,3204,3,2,2,379,,,Glen Eira City Council,-37.8981,145.0367,Southern Metropolitan,3578,Indoor,973000
Ormond,58 Draper St,4,h,S,Buxton,15/10/2016,11.8,3204,4,3,1,718,189,1939,Glen Eira City Council,-37.9061,145.0509,Southern Metropolitan,3578,Parkade,1845000
Ormond,16 Sherwood St,3,h,S,Marshall,15/10/2016,11.8,3204,3,1,2,578,140,1935,Glen Eira City Council,-37.9047,145.0274,Southern Metropolitan,3578,Carport,1535000
Ormond,21 Stewart St,4,h,S,hockingstuart,15/10/2016,11.8,3204,4,2,2,691,193,1935,Glen Eira City Council,-37.905,145.029,Southern Metropolitan,3578,Detached Garage,2005000
Ormond,3/16 Wheeler St,3,u,S,Woodards,15/10/2016,11.8,3204,3,2,1,180,92,1997,Glen Eira City Council,-37.9069,145.041,Southern Metropolitan,3578,Attached Garage,932000
West Footscray,120 Cross St,4,h,SA,Ray,15/10/2016,8.2,3012,4,1,3,511,,,Maribyrnong City Council,-37.8001,144.877,Western Metropolitan,5058,Indoor,850000
West Footscray,47 Fontein St,3,h,SP,Sweeney,15/10/2016,8.2,3012,3,1,1,281,115,1950,Maribyrnong City Council,-37.8007,144.8635,Western Metropolitan,5058,Parkade,
West Footscray,1/9 Indwe St,3,t,S,Nelson,15/10/2016,8.2,3012,3,1,2,255,148,2001,Maribyrnong City Council,-37.8038,144.8679,Western Metropolitan,5058,Carport,620000
West Footscray,21 Napoleon St,2,h,S,Burnham,15/10/2016,8.2,3012,2,1,4,596,,,Maribyrnong City Council,-37.7913,144.8689,Western Metropolitan,5058,Detached Garage,1001000
West Footscray,20 Warleigh Rd,3,h,SP,Sweeney,15/10/2016,8.2,3012,3,2,3,336,94,1910,Maribyrnong City Council,-37.7995,144.8794,Western Metropolitan,5058,Attached Garage,875000
Albion,27 Burnewang St,2,h,S,Barry,15/10/2016,13.9,3020,2,1,2,697,,1950,Brimbank City Council,-37.7835,144.8176,Western Metropolitan,2185,Carport,670000
Albion,5 Perth Av,4,h,S,hockingstuart,15/10/2016,13.9,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,2185,Detached Garage,644500
Oakleigh,1/1478 Dandenong Rd,3,u,S,Buxton,15/10/2016,14,3166,3,1,2,340,103,1930,Monash City Council,-37.8968,145.0983,Southern Metropolitan,3224,Attached Garage,690000
Oakleigh,1494b Dandenong Rd,3,t,PI,Ray,15/10/2016,14,3166,,,,,,,Monash City Council,,,Southern Metropolitan,3224,Indoor,790000
Oakleigh,53 William St,3,h,SP,Buxton,15/10/2016,14,3166,3,2,2,544,146,1970,Monash City Council,-37.9055,145.1024,Southern Metropolitan,3224,Parkade,1050000
Cremorne,183 Cubitt St,2,h,S,Biggin,15/10/2016,2.5,3121,2,1,0,138,,,Yarra City Council,-37.832,144.992,Northern Metropolitan,1123,Underground,895000
Travancore,110 Baroda St,4,h,SP,Nelson,15/10/2016,5.3,3032,4,2,1,621,192,1900,Moonee Valley City Council,-37.7778,144.9346,Western Metropolitan,1052,Outdoor Stall,1562000
Keilor Park,10 Sell St,3,h,S,Nelson,15/10/2016,14.5,3042,,,,,,,Brimbank City Council,,,Western Metropolitan,1119,Carport,650000
Abbotsford,16/11 Nicholson St,3,u,PI,Philip,16/04/2016,2.5,3067,3,2,2,0,129,2010,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019,Detached Garage,
Airport West,180 Parer Rd,3,h,S,Barry,16/04/2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464,Attached Garage,830000
Albert Park,86 Mills St,3,h,VB,RT,16/04/2016,3.3,3206,3,2,1,211,147,1900,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280,Indoor,2000000
Alphington,44 Naroon Rd,3,h,S,Nelson,16/04/2016,6.4,3078,3,1,2,592,,,Darebin City Council,-37.7755,145.0288,Northern Metropolitan,2211,Carport,1540000
Alphington,11 Tower Av,4,h,S,Jellis,16/04/2016,6.4,3078,,,,,,,Darebin City Council,,,Northern Metropolitan,2211,Detached Garage,
Altona,1/57 Blyth St,3,u,SP,Barlow,16/04/2016,13.8,3018,3,2,1,70,,,Hobsons Bay City Council,-37.868,144.8287,Western Metropolitan,5301,Attached Garage,730000
Altona,22 Fenfield St,3,h,S,hockingstuart,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301,Indoor,678000
Armadale,5 Alleyne Av,4,h,S,Jellis,16/04/2016,6.3,3143,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836,Parkade,
Armadale,8/569 Orrong Rd,1,u,S,Jellis,16/04/2016,6.3,3143,1,1,1,0,,,Stonnington City Council,-37.8537,145.0114,Southern Metropolitan,4836,Carport,324000
Armadale,19 Sutherland Rd,3,h,S,Marshall,16/04/2016,6.3,3143,3,1,2,451,,,Stonnington City Council,-37.8593,145.0167,Southern Metropolitan,4836,Detached Garage,
Ascot Vale,7 Angler Pde,4,h,S,Raine,16/04/2016,5.9,3032,4,3,2,562,204,1890,Moonee Valley City Council,-37.782,144.903,Western Metropolitan,6567,Attached Garage,1640000
Ascot Vale,26 Ayr St,6,h,S,Nelson,16/04/2016,5.9,3032,4,2,1,461,286,1900,Moonee Valley City Council,-37.78,144.9295,Western Metropolitan,6567,Indoor,1430000
Ascot Vale,2/127 Epsom Rd,2,u,SP,Brad,16/04/2016,5.9,3032,2,1,1,301,104,1995,Moonee Valley City Council,-37.7791,144.914,Western Metropolitan,6567,Carport,610000
Ascot Vale,57 The Parade,3,h,S,Nelson,16/04/2016,5.9,3032,3,3,1,491,127,1950,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan,6567,Detached Garage,940000
Ashburton,11a Ambon St,3,h,S,Jellis,16/04/2016,11,3147,3,2,1,404,398,2010,Boroondara City Council,-37.8696,145.0811,Southern Metropolitan,3052,Attached Garage,
Ashburton,24 Fakenham Rd,3,h,S,Marshall,16/04/2016,11,3147,3,2,2,650,,,Boroondara City Council,-37.8628,145.0884,Southern Metropolitan,3052,Indoor,
Ashburton,95 Nicholas St,2,h,S,Jellis,16/04/2016,11,3147,2,1,2,704,,,Boroondara City Council,-37.8745,145.0738,Southern Metropolitan,3052,Parkade,1445000
Ashwood,2/21 Electra Av,2,t,S,Buxton,16/04/2016,12.2,3147,,,,,,,Monash City Council,,,Southern Metropolitan,2894,Underground,690000
Ashwood,3/26 May Park Av,3,t,PI,Fletchers,16/04/2016,12.2,3147,,,,,,,Monash City Council,,,Southern Metropolitan,2894,Outdoor Stall,
Avondale Heights,16a Arbor Tce,3,u,S,Brad,16/04/2016,10.5,3034,3,2,1,289,,,Moonee Valley City Council,-37.7644,144.8657,Western Metropolitan,4502,Parking Pad,665000
Avondale Heights,40a Herbert St,3,h,S,Nelson,16/04/2016,10.5,3034,3,1,1,177,,,Moonee Valley City Council,-37.7664,144.8583,Western Metropolitan,4502,Carport,560500
Balwyn,7 Power St,5,h,S,Marshall,16/04/2016,9.7,3103,5,2,2,611,,,Boroondara City Council,-37.8116,145.0789,Southern Metropolitan,5682,Detached Garage,2020000
Balwyn,6/29 Weir St,2,u,VB,Jellis,16/04/2016,9.7,3103,2,1,1,0,79,1950,Boroondara City Council,-37.8152,145.0839,Southern Metropolitan,5682,Attached Garage,460000
Balwyn North,3 Alpha St,4,h,SP,Fletchers,16/04/2016,9.2,3104,4,2,2,1040,,,Boroondara City Council,-37.7992,145.0907,Southern Metropolitan,7809,Indoor,2170000
Balwyn North,237a Balwyn Rd,5,h,PI,Appleby,16/04/2016,9.2,3104,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809,Parkade,1310000
Balwyn North,1/17 Corhampton Rd,3,h,S,Jellis,16/04/2016,9.2,3104,3,2,2,234,,,Boroondara City Council,-37.7956,145.0676,Southern Metropolitan,7809,Underground,
Balwyn North,48 Hosken St,4,h,PI,Jellis,16/04/2016,9.2,3104,4,2,2,1235,196,1960,Boroondara City Council,-37.7988,145.089,Southern Metropolitan,7809,Outdoor Stall,2525000
Balwyn North,8 Kawarren St,5,h,SN,Jellis,16/04/2016,9.2,3104,5,4,2,676,296,1968,Boroondara City Council,-37.7859,145.0917,Southern Metropolitan,7809,Parking Pad,
Balwyn North,17 Stephens St,4,h,S,Assisi,16/04/2016,9.2,3104,4,3,1,904,420,2003,Boroondara City Council,-37.797,145.086,Southern Metropolitan,7809,Carport,3360000
Balwyn North,7 Sunburst Av,3,h,S,hockingstuart,16/04/2016,9.2,3104,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809,Detached Garage,1845000
Bentleigh,4 Leckie St,3,h,S,hockingstuart,16/04/2016,13,3204,3,1,2,700,,,Glen Eira City Council,-37.9228,145.0476,Southern Metropolitan,6795,Attached Garage,1327500
Bentleigh,9b Marquis Rd,4,t,S,hockingstuart,16/04/2016,13,3204,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795,Indoor,1435000
Bentleigh,10 Osborne Av,5,h,S,Buxton,16/04/2016,13,3204,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795,Parkade,1960000
Bentleigh,41 Wavell St,4,h,S,Buxton,16/04/2016,13,3204,4,1,2,682,,1950,Glen Eira City Council,-37.9148,145.0467,Southern Metropolitan,6795,Underground,
Bentleigh,43 Wavell St,4,h,PI,Buxton,16/04/2016,13,3204,4,3,1,695,,,Glen Eira City Council,-37.9149,145.0469,Southern Metropolitan,6795,Carport,1560000
Bentleigh East,32a Argyle St,3,t,S,Buxton,16/04/2016,13.9,3165,3,2,1,343,,,Glen Eira City Council,-37.9112,145.0738,Southern Metropolitan,10969,Detached Garage,920000
Bentleigh East,12 Barrani St,3,h,S,Woodards,16/04/2016,13.9,3165,3,1,4,726,131,1950,Glen Eira City Council,-37.9117,145.0695,Southern Metropolitan,10969,Attached Garage,1050000
Bentleigh East,45 Browns Rd,3,h,S,Woodards,16/04/2016,13.9,3165,3,1,2,841,,,Glen Eira City Council,-37.9217,145.056,Southern Metropolitan,10969,Indoor,1560000
Bentleigh East,69a Deakin St,3,h,VB,Woodards,16/04/2016,13.9,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969,Parkade,1000000
Bentleigh East,25 Glover St,4,h,PI,Hodges,16/04/2016,13.9,3165,4,2,2,601,,,Glen Eira City Council,-37.9278,145.081,Southern Metropolitan,10969,Carport,800000
Bentleigh East,21 Highview Rd,2,h,S,Buxton,16/04/2016,13.9,3165,2,2,1,201,79,2005,Glen Eira City Council,-37.9293,145.0657,Southern Metropolitan,10969,Detached Garage,722000
Bentleigh East,18 Normanby Rd,3,h,SP,Buxton,16/04/2016,13.9,3165,3,1,2,588,133,1960,Glen Eira City Council,-37.9286,145.069,Southern Metropolitan,10969,Attached Garage,930000
Bentleigh East,6/48 Pasadena Cr,3,h,S,Buxton,16/04/2016,13.9,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969,Indoor,780000
Bentleigh East,93 Tudor St,3,h,S,Buxton,16/04/2016,13.9,3165,3,2,1,291,119,2000,Glen Eira City Council,-37.919,145.0829,Southern Metropolitan,10969,Parkade,921000
Bentleigh East,23 York St,4,h,PI,First,16/04/2016,13.9,3165,3,1,2,610,160,1950,Glen Eira City Council,-37.9193,145.0691,Southern Metropolitan,10969,Underground,1035000
Box Hill,55 Albion Rd,4,h,S,Fletchers,16/04/2016,13.1,3128,4,2,1,692,195,1890,Whitehorse City Council,-37.8247,145.1281,Eastern Metropolitan,4605,Outdoor Stall,1600000
Braybrook,40 Lawn Cr,3,t,SN,GL,16/04/2016,10.8,3019,,,,,,,Maribyrnong City Council,,,Western Metropolitan,3589,Carport,
Brighton,2/61 Black St,2,u,VB,hockingstuart,16/04/2016,11.2,3186,2,1,1,131,,,Bayside City Council,-37.9164,145.0002,Southern Metropolitan,10579,Detached Garage,800000
Brighton,4/2 Brandon Cl,2,u,SP,Buxton,16/04/2016,11.2,3186,,,,,,,Bayside City Council,,,Southern Metropolitan,10579,Attached Garage,
Brighton,34 Middle Cr,4,h,S,hockingstuart,16/04/2016,11.2,3186,,,,,,,Bayside City Council,,,Southern Metropolitan,10579,Indoor,4375000
Brighton,48 Montclair Av,2,h,S,Buxton,16/04/2016,11.2,3186,,,,,,,Bayside City Council,,,Southern Metropolitan,10579,Parkade,1036000
Brighton,31 Orchard St,5,h,PI,Hodges,16/04/2016,11.2,3186,5,5,2,552,219,1920,Bayside City Council,-37.9012,144.997,Southern Metropolitan,10579,Carport,2100000
Brighton East,6 Balfour St,3,h,S,Marshall,16/04/2016,10.7,3187,3,2,4,678,,,Bayside City Council,-37.9208,145.0126,Southern Metropolitan,6938,Detached Garage,1620000
Brighton East,11 Burwah Av,4,h,S,hockingstuart,16/04/2016,10.7,3187,,,,,,,Bayside City Council,,,Southern Metropolitan,6938,Attached Garage,2127000
Brighton East,13 Stradbroke Av,4,h,S,Buxton,16/04/2016,10.7,3187,,,,,,,Bayside City Council,,,Southern Metropolitan,6938,Indoor,
Brighton East,2/111 Thomas St,3,t,S,hockingstuart,16/04/2016,10.7,3187,3,2,3,0,,2004,Bayside City Council,-37.9089,145.0246,Southern Metropolitan,6938,Parkade,940000
Brunswick,311 Albion St,3,h,S,Nelson,16/04/2016,5.2,3056,3,1,1,210,130,1900,Moreland City Council,-37.7597,144.9545,Northern Metropolitan,11918,Carport,825000
Brunswick,46 Cassels Rd,2,h,S,Nelson,16/04/2016,5.2,3056,3,1,2,352,,1900,Moreland City Council,-37.7566,144.9599,Northern Metropolitan,11918,Detached Garage,860000
Brunswick,50 Davies St,2,h,S,Nelson,16/04/2016,5.2,3056,2,1,1,319,,,Moreland City Council,-37.7572,144.9686,Northern Metropolitan,11918,Attached Garage,830000
Brunswick,58 Donald St,2,h,S,Nelson,16/04/2016,5.2,3056,2,1,2,200,,,Moreland City Council,-37.7581,144.9678,Northern Metropolitan,11918,Carport,936000
Brunswick,175 Edward St,3,h,S,Nelson,16/04/2016,5.2,3056,2,1,1,216,100,1910,Moreland City Council,-37.7746,144.9697,Northern Metropolitan,11918,Detached Garage,1261000
Brunswick,84 Stewart St,3,h,S,Jellis,16/04/2016,5.2,3056,3,1,2,222,105,1890,Moreland City Council,-37.7642,144.969,Northern Metropolitan,11918,Attached Garage,1045000
Brunswick West,201 Hope St,2,h,S,Nelson,16/04/2016,5.9,3055,2,1,1,177,87,1910,Moreland City Council,-37.7619,144.9412,Northern Metropolitan,7082,Indoor,711000
Brunswick West,7 Zeal St,2,h,S,Raine,16/04/2016,5.9,3055,2,1,4,576,,,Moreland City Council,-37.7578,144.9439,Northern Metropolitan,7082,Parkade,910000
Bulleen,7 Ronald Av,4,h,S,Barry,16/04/2016,11.8,3105,,,,,,,Manningham City Council,,,Eastern Metropolitan,4480,Underground,1298000
Bulleen,71 Summit Dr,4,h,VB,hockingstuart,16/04/2016,11.8,3105,4,2,3,672,212,1970,Manningham City Council,-37.7689,145.0895,Eastern Metropolitan,4480,Outdoor Stall,1000000
Burwood,38 Gillard St,4,h,PI,Marshall,16/04/2016,11.7,3125,5,2,1,824,,1950,Monash City Council,-37.8535,145.1139,Southern Metropolitan,5678,Carport,
Burwood,4 Ian Gr,7,h,PI,Ray,16/04/2016,11.7,3125,7,3,1,581,200,1965,Monash City Council,-37.8559,145.1208,Southern Metropolitan,5678,Detached Garage,
Burwood,29 Meldan St,2,h,S,Fletchers,16/04/2016,11.7,3125,2,1,2,593,82,1950,Monash City Council,-37.8444,145.1054,Southern Metropolitan,5678,Attached Garage,1350000
Camberwell,4 Ada St,3,h,S,O'Donoghues,16/04/2016,7.8,3124,3,2,2,656,225,2009,Boroondara City Council,-37.841,145.0824,Southern Metropolitan,8920,Indoor,2250000
Camberwell,3a Braeside Av,3,h,S,Marshall,16/04/2016,7.8,3124,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920,Carport,
Camberwell,591 Camberwell Rd,2,h,PI,O'Donoghues,16/04/2016,7.8,3124,2,1,1,424,95,1930,Boroondara City Council,-37.8465,145.0743,Southern Metropolitan,8920,Detached Garage,895000
Camberwell,5 Cooloongatta Rd,3,h,SP,Marshall,16/04/2016,7.8,3124,3,2,0,584,213,1920,Boroondara City Council,-37.8349,145.0758,Southern Metropolitan,8920,Attached Garage,1800000
Camberwell,10 Lofty Av,4,h,S,Marshall,16/04/2016,7.8,3124,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920,Indoor,
Camberwell,5 Nicholsdale Rd,4,h,PI,Jellis,16/04/2016,7.8,3124,3,0,0,693,,1935,Boroondara City Council,-37.836,145.0914,Southern Metropolitan,8920,Parkade,1400000
Camberwell,110 Rowell Av,3,h,PI,Noel,16/04/2016,7.8,3124,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920,Carport,2200000
Carlton North,1018 Drummond St,4,h,S,Nelson,16/04/2016,3.2,3054,4,2,2,504,168,1890,Melbourne City Council,-37.7805,144.9721,Northern Metropolitan,3106,Detached Garage,2520000
Carlton North,354 Station St,3,h,S,Nelson,16/04/2016,3.2,3054,3,3,1,144,,,Melbourne City Council,-37.7885,144.9757,Northern Metropolitan,3106,Attached Garage,1214000
Carnegie,25 Arawatta St,2,h,S,Jellis,16/04/2016,11.4,3163,2,1,1,211,102,2002,Glen Eira City Council,-37.8856,145.0599,Southern Metropolitan,7822,Indoor,817500
Carnegie,3/7 Judd St,1,u,PN,Anderson,16/04/2016,11.4,3163,1,1,1,0,,,Glen Eira City Council,-37.8986,145.0567,Southern Metropolitan,7822,Carport,
Carnegie,48 Lyons St,4,h,PI,Ray,16/04/2016,11.4,3163,4,2,2,557,200,1938,Glen Eira City Council,-37.8955,145.0515,Southern Metropolitan,7822,Detached Garage,1450000
Carnegie,51 Mimosa Rd,3,h,PI,Ray,16/04/2016,11.4,3163,3,2,1,390,,,Glen Eira City Council,-37.8905,145.0518,Southern Metropolitan,7822,Attached Garage,1000000
Carnegie,2/79 Mimosa Rd,2,t,S,Gary,16/04/2016,11.4,3163,2,1,1,158,106,1994,Glen Eira City Council,-37.8886,145.052,Southern Metropolitan,7822,Indoor,855000
Carnegie,2/61 Moonya Rd,2,h,S,Gary,16/04/2016,11.4,3163,2,1,1,0,90,1968,Glen Eira City Council,-37.8973,145.0625,Southern Metropolitan,7822,Parkade,675000
Carnegie,7a Parton Ct,4,t,SN,RT,16/04/2016,11.4,3163,4,3,1,268,174,2005,Glen Eira City Council,-37.8908,145.0462,Southern Metropolitan,7822,Underground,
Caulfield,40 Snowdon Av,4,h,S,Gary,16/04/2016,8.9,3162,,,,,,,Glen Eira City Council,,,Southern Metropolitan,2379,Outdoor Stall,1220000
Caulfield South,28 Ellington St,4,h,PI,hockingstuart,16/04/2016,9.3,3162,5,3,4,708,,,Glen Eira City Council,-37.8923,145.0177,Southern Metropolitan,5051,Parking Pad,1960000
Caulfield South,23 Lygon St,2,h,S,Gary,16/04/2016,9.3,3162,2,1,1,367,85,1930,Glen Eira City Council,-37.8995,145.0241,Southern Metropolitan,5051,Carport,825000
Caulfield South,136 Sycamore St,2,h,S,hockingstuart,16/04/2016,9.3,3162,4,2,2,464,272,2016,Glen Eira City Council,-37.8901,145.0224,Southern Metropolitan,5051,Detached Garage,1262000
Coburg,12 Gordon St,4,h,S,Brad,16/04/2016,7.8,3058,4,1,1,452,125,1925,Darebin City Council,-37.7525,144.948,Northern Metropolitan,11204,Attached Garage,865000
Coburg,11/5 Industry La,2,u,VB,Nelson,16/04/2016,7.8,3058,2,2,1,0,96,1880,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204,Indoor,485000
Coburg,12 Lascelles St,3,h,S,Nelson,16/04/2016,7.8,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,11204,Parkade,765000
Coburg North,31 Camera Wk,2,t,PI,Stockdale,16/04/2016,9.2,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,3445,Underground,460000
Coburg North,3/53 Lincoln Av,2,u,SN,Barry,16/04/2016,9.2,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,3445,Outdoor Stall,
Coburg North,5 Peterson Av,3,h,SN,Barry,16/04/2016,9.2,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,3445,Parking Pad,
Collingwood,84 Budd St,3,h,S,hockingstuart,16/04/2016,1.6,3066,3,1,0,183,104,1880,Yarra City Council,-37.7948,144.9875,Northern Metropolitan,4553,Carport,1075000
Collingwood,38/99 Oxford St,3,u,S,Nelson,16/04/2016,1.6,3066,3,2,2,0,,,Yarra City Council,-37.8037,144.9846,Northern Metropolitan,4553,Detached Garage,1470000
Doncaster,460 Doncaster Rd,3,h,S,Jellis,16/04/2016,13.9,3108,3,1,2,692,129,1960,Manningham City Council,-37.7878,145.1111,Eastern Metropolitan,9028,Attached Garage,
Doncaster,19 Gilmore Rd,3,h,S,Barry,16/04/2016,13.9,3108,3,2,2,731,140,1960,Manningham City Council,-37.7892,145.131,Eastern Metropolitan,9028,Indoor,1485000
Doncaster,1 Gray St,3,h,SN,Philip,16/04/2016,13.9,3108,3,2,1,356,,2009,Manningham City Council,-37.7898,145.1065,Eastern Metropolitan,9028,Parkade,
Doncaster,22 Menarra St,3,h,S,Ray,16/04/2016,13.9,3108,3,1,1,658,140,1960,Manningham City Council,-37.7816,145.1066,Eastern Metropolitan,9028,Underground,1190000
Elsternwick,3/477 Kooyong Rd,3,t,S,Biggin,16/04/2016,8.5,3185,3,2,2,179,125,2000,Glen Eira City Council,-37.8961,145.0125,Southern Metropolitan,4898,Carport,1071000
Elsternwick,21 Liscard St,3,h,S,Biggin,16/04/2016,8.5,3185,3,2,2,492,181,1905,Glen Eira City Council,-37.8789,145.0048,Southern Metropolitan,4898,Detached Garage,1800000
Elsternwick,2 Park St,3,h,S,Biggin,16/04/2016,8.5,3185,3,2,1,419,204,1908,Glen Eira City Council,-37.8817,145.0126,Southern Metropolitan,4898,Attached Garage,2345000
Elsternwick,5/16 St Georges Rd,2,u,S,Biggin,16/04/2016,8.5,3185,3,1,1,0,1561,1966,Glen Eira City Council,-37.8829,145.0033,Southern Metropolitan,4898,Indoor,741000
Elwood,17 Addison St,3,h,S,Chisholm,16/04/2016,7.7,3184,3,2,2,316,,1910,Port Phillip City Council,-37.875,144.9813,Southern Metropolitan,8989,Parkade,1700000
Elwood,5/15 Dickens St,2,u,S,hockingstuart,16/04/2016,7.7,3184,2,1,1,1622,,1970,Port Phillip City Council,-37.8716,144.9869,Southern Metropolitan,8989,Carport,686000
Elwood,2/21 Milton St,2,u,PI,Jellis,16/04/2016,7.7,3184,2,1,0,0,70,1930,Port Phillip City Council,-37.8751,144.987,Southern Metropolitan,8989,Detached Garage,560000
Elwood,4/41 Shelley St,2,u,S,Marshall,16/04/2016,7.7,3184,2,1,0,0,88,1940,Port Phillip City Council,-37.8809,144.9833,Southern Metropolitan,8989,Attached Garage,765000
